address,city,state,zip_code,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country
8005 CASTLEWAY DR,INDIANAPOLIS,IN,46250,39.901516,-86.055749,1,range_interpolation,8005,Castleway Dr,Indianapolis,IN,Marion County,46250,US
8560 CASTLETON SQUARE DR,INDIANAPOLIS,IN,46250,39.909911,-86.069301,1,range_interpolation,8560,Castleton Square Dr,Indianapolis,IN,Marion County,46250,US
6711 82ND ST,INDIANAPOLIS,IN,46250,39.905061,-86.051818,1,range_interpolation,6711,W 82nd St,Indianapolis,IN,Marion County,46250,US
8136 BASH ST,INDIANAPOLIS,IN,46250,39.903952,-86.049861,1,range_interpolation,8136,Bash St,Indianapolis,IN,Marion County,46250,US
6327 82ND ST,INDIANAPOLIS,IN,46250,39.905179,-86.058987,1,range_interpolation,6327,W 82nd St,Indianapolis,IN,Marion County,46250,US
6817 82ND ST,INDIANAPOLIS,IN,46250,39.905044,-86.049338,1,range_interpolation,6817,W 82nd St,Indianapolis,IN,Marion County,46250,US
9330 CORPORATION DR,INDIANAPOLIS,IN,46256,39.922687,-86.03372,1,range_interpolation,9330,Corporation Dr,Indianapolis,IN,Marion County,46256,US
5258 82ND ST,INDIANAPOLIS,IN,46250,39.905262,-86.080622,1,range_interpolation,5258,W 82nd St,Indianapolis,IN,Marion County,46250,US
8025 CASTLEWAY DR,INDIANAPOLIS,IN,46250,39.901691,-86.055749,1,range_interpolation,8025,Castleway Dr,Indianapolis,IN,Marion County,46250,US
8530 CENTER RUN RD,INDIANAPOLIS,IN,46250,39.911738,-86.058506,1,range_interpolation,8530,Center Run Dr,Indianapolis,IN,Marion County,46250,US
9325 UPTOWN DR,INDIANAPOLIS,IN,46256,39.921566,-86.03741,0.8,street_center,,Uptown Dr,Indianapolis,IN,Marion County,46256,US
8149 CASTLETON RD,INDIANAPOLIS,IN,46250,39.904255,-86.050528,1,range_interpolation,8149,Castleton Rd,Indianapolis,IN,Marion County,46250,US
8481 BASH ST,INDIANAPOLIS,IN,46250,39.910867,-86.047304,1,range_interpolation,8481,Bash St,Indianapolis,IN,Marion County,46250,US
5875 CASTLE CREEK PKWY NDR,INDIANAPOLIS,IN,46250,39.915696,-86.0724,1,range_interpolation,5875,Castle Creek Parkway North Dr,Indianapolis,IN,Marion County,46250,US
7201 KEYSTONE AVE,INDIANAPOLIS,IN,46240,39.883982,-86.122086,1,range_interpolation,7201,S Keystone Ave,Indianapolis,IN,Marion County,46240,US
7200 SARTO DR,INDIANAPOLIS,IN,46240,39.883402,-86.115893,1,range_interpolation,7200,Sarto Dr,Indianapolis,IN,Marion County,46240,US
7200 SARTO DR,INDIANAPOLIS,IN,46240,39.883402,-86.115893,1,range_interpolation,7200,Sarto Dr,Indianapolis,IN,Marion County,46240,US
9380 DELEGATES ROW,INDIANAPOLIS,IN,46240,39.921433,-86.099485,1,range_interpolation,9380,Delegates Row,Indianapolis,IN,Marion County,46240,US
8701 KEYSTONE CROSSING,INDIANAPOLIS,IN,46240,39.913754,-86.109353,1,range_interpolation,8701,Keystone Xing,Indianapolis,IN,Marion County,46240,US
8505 KEYSTONE CROSSING,INDIANAPOLIS,IN,46240,39.910542,-86.112869,1,range_interpolation,8505,Keystone Xing,Indianapolis,IN,Marion County,46240,US
8702 KEYSTONE CROSSING,INDIANAPOLIS,IN,46240,39.912461,-86.109705,1,range_interpolation,8702,Keystone Xing,Indianapolis,IN,Marion County,46240,US
9380 DELEGATES ROW,INDIANAPOLIS,IN,46240,39.921433,-86.099485,1,range_interpolation,9380,Delegates Row,Indianapolis,IN,Marion County,46240,US
8630 KEYSTONE CROSSING,INDIANAPOLIS,IN,46240,39.912136,-86.109877,1,range_interpolation,8630,Keystone Xing,Indianapolis,IN,Marion County,46240,US
